player,salary_rank,team,games_played,player_mvp_calc_avg,salary,team_games_played,games_missed,pvm_rank,rankingish,percentile_rank,color_var,adj_penalty_final,pct_penalized
Deandre Ayton,$10-15 M,PHX,41,21.98,12632950,62,21,17.66,0.714,71.4,Normal,0.82,0.18
Anfernee Simons,< $5 M,POR,56,21.7,3938818,62,6,6.86,0.977,97.7,Great Value,1,0
Kelly Oubre,$10-15 M,CHA,58,21.7,12000000,64,6,17.66,0.686,68.6,Normal,1,0
Keldon Johnson,< $5 M,SAS,58,21.5,2145720,63,5,6.86,0.975,97.5,Great Value,1,0
Kevin Love,$30+ M,CLE,54,21.5,31300000,62,8,31.17,0.071,7.1,Bad Value,1,0
Montrezl Harrell,$5-10 M,CHA,54,21.5,9720900,64,10,15.89,0.805,80.5,Normal,1,0
Harrison Barnes,$20-25 M,SAC,60,21.1,20284091,65,5,22.3,0.5,50,Normal,1,0
Dennis Schroder,$5-10 M,HOU,55,21,5890000,62,7,15.89,0.766,76.6,Normal,1,0
Franz Wagner,$5-10 M,ORL,63,21,5007840,63,0,15.89,0.766,76.6,Normal,1,0
Josh Giddey,$5-10 M,OKC,54,21,5988000,62,8,15.89,0.766,76.6,Normal,1,0
Josh Hart,$10-15 M,POR,47,20.77,12000000,62,15,17.66,0.657,65.7,Normal,0.94,0.06
Devonte' Graham,$10-15 M,NOP,58,20.4,11000000,62,4,17.66,0.629,62.9,Normal,1,0
Ricky Rubio,$15-20 M,CLE,34,20.4,17809524,62,28,20.88,0.516,51.6,Normal,0.75,0.25
De'Anthony Melton,$5-10 M,MEM,55,20.4,8437500,64,9,15.89,0.753,75.3,Normal,1,0
Dillon Brooks,$10-15 M,MEM,21,20.25,12200000,64,43,17.66,0.6,60,Normal,0.75,0.25
Jae Crowder,$5-10 M,PHX,52,20.1,9720900,62,10,15.89,0.74,74,Normal,1,0
Cameron Johnson,< $5 M,PHX,59,20.1,4437000,62,3,6.86,0.972,97.2,Great Value,1,0
Saddiq Bey,< $5 M,DET,63,19.9,2824320,63,0,6.86,0.97,97,Great Value,1,0
Steven Adams,$15-20 M,MEM,60,19.8,17073171,64,4,20.88,0.452,45.2,Normal,1,0
Lonzo Ball,$15-20 M,CHI,35,19.8,18604651,63,28,20.88,0.452,45.2,Normal,0.75,0.25
Buddy Hield,$20-25 M,IND,63,19.5,22477273,64,1,22.3,0.417,41.7,Normal,1,0
Draymond Green,$20-25 M,GSW,34,19.43,24026712,63,29,22.3,0.333,33.3,Normal,0.75,0.25
Malik Monk,< $5 M,LAL,56,19.4,1789256,62,6,6.86,0.967,96.7,Great Value,1,0
Bogdan Bogdanovic,$15-20 M,ATL,44,19.36,18000000,62,18,20.88,0.419,41.9,Normal,0.88,0.12
Carmelo Anthony,< $5 M,LAL,54,19.2,2641691,62,8,6.86,0.962,96.2,Great Value,1,0
Devin Vassell,< $5 M,SAS,55,19.2,4235160,63,8,6.86,0.962,96.2,Great Value,1,0
Patrick Beverley,$10-15 M,MIN,44,19.18,14320988,63,19,17.66,0.571,57.1,Normal,0.88,0.12
Kevin Huerter,< $5 M,ATL,55,18.9,4253357,62,7,6.86,0.957,95.7,Great Value,1,0
Klay Thompson,$30+ M,GSW,18,18.9,37980720,63,45,31.17,0.036,3.6,Bad Value,0.75,0.25
