time_quarter,play,time_remaining_final,quarter,away_score,score,home_score,home_team,away_team,score_away,score_home,margin_score,date,leading_team,home_team_full,home_primary_color,away_team_full,away_primary_color,game_description,away_fill,home_fill,scoring_team_color,scoring_team,max_home_lead,max_away_lead,winning_team,losing_team
4:37,R. Williams makes free throw 2 of 2,16.62,3rd Quarter,NA,70-62,+1,BOS,MIA,70,62,-8,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
4:09,R. Williams makes 2-pt dunk from 2 ft (assist by J. Brown),16.15,3rd Quarter,NA,70-64,+2,BOS,MIA,70,64,-6,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
3:47,K. Lowry makes 3-pt jump shot from 29 ft (assist by J. Butler),15.78,3rd Quarter,+3,73-64,NA,BOS,MIA,73,64,-9,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
3:17,J. Butler makes free throw 1 of 2,15.28,3rd Quarter,+1,74-64,NA,BOS,MIA,74,64,-10,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
3:17,J. Butler makes free throw 2 of 2,15.28,3rd Quarter,+1,75-64,NA,BOS,MIA,75,64,-11,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
2:51,R. Williams makes 2-pt layup from 2 ft (assist by M. Smart),14.85,3rd Quarter,NA,75-66,+2,BOS,MIA,75,66,-9,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
2:27,J. Butler makes 2-pt jump shot from 16 ft,14.45,3rd Quarter,+2,77-66,NA,BOS,MIA,77,66,-11,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
2:08,V. Oladipo makes free throw 2 of 2,14.13,3rd Quarter,+1,79-66,NA,BOS,MIA,79,66,-13,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
2:08,V. Oladipo makes free throw 1 of 2,14.13,3rd Quarter,+1,78-66,NA,BOS,MIA,78,66,-12,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
1:55,D. White makes 3-pt jump shot from 27 ft (assist by J. Tatum),13.92,3rd Quarter,NA,79-69,+3,BOS,MIA,79,69,-10,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
