Player,boxOutsDefense,screenAssist,chargesDrawn,deflections
Landry Shamet,58,32,5,75
Langston Galloway,14,2,1,14
Larry Nance Jr.,48,64,2,118
Lauri Markkanen,70,51,1,36
LeBron James,36,26,9,88
Lonnie Walker IV,8,10,1,71
Lonzo Ball,12,36,0,137
Lou Williams,15,21,3,79
Louis King,2,1,0,10
Luguentz Dort,19,17,5,81
Luka Doncic,38,14,0,112
Luka Samanic,8,8,0,17
Luke Kennard,28,11,1,42
Luke Kornet,22,67,0,6
Malachi Flynn,14,4,0,66
Malcolm Brogdon,29,9,0,91
Malik Beasley,15,15,0,56
Malik Fitts,1,0,0,0
Malik Monk,6,4,0,33
Mamadi Diakite,6,23,2,10
Marc Gasol,64,85,5,78
Marcus Morris Sr.,61,50,0,58
Marcus Smart,60,33,14,156
Markelle Fultz,3,2,0,16
Markieff Morris,46,41,5,61
Markus Howard,3,3,1,9
Marques Bolden,3,1,0,2
Marquese Chriss,3,3,0,0
Marvin Bagley III,49,57,10,40
Mason Jones,5,1,0,11
Mason Plumlee,80,249,5,98
Matisse Thybulle,20,17,1,202
Matt Thomas,8,2,0,9
Matthew Dellavedova,4,4,0,10
Maurice Harkless,16,13,0,77
Max Strus,11,12,4,23
Maxi Kleber,89,99,3,45
Meyers Leonard,14,3,0,1
Mfiondu Kabengele,22,27,0,7
Michael Carter-Williams,5,6,8,46
Michael Porter Jr.,19,7,0,74
Mikal Bridges,30,17,0,154
Mike Conley,14,19,2,114
Mike James,0,1,0,12
Mike Muscala,82,37,1,19
Mike Scott,60,45,0,31
Miles Bridges,89,51,1,89
Mitchell Robinson,128,86,0,61
Miye Oni,5,2,0,25
Mo Bamba,47,137,1,37
Monte Morris,10,11,1,46
Montrezl Harrell,146,166,22,75
Moritz Wagner,68,87,14,56
Moses Brown,43,95,2,56
Mychal Mulder,26,9,0,22
Myles Turner,128,110,0,104
Naji Marshall,10,1,1,43
Nassir Little,12,10,0,16
Nate Darling,1,0,1,0
Nate Hinton,2,1,1,8
Nathan Knight,20,12,0,17
Naz Reid,105,159,7,76
Nemanja Bjelica,20,21,0,31
Nerlens Noel,119,205,4,179
Nick Richards,2,6,0,2
Nickeil Alexander-Walker,12,9,0,103
Nico Mannion,2,2,1,28
Nicolas Batum,21,45,5,141
Nicolas Claxton,40,52,0,40
Nicolo Melli,36,31,0,38
Nikola Jokic,161,324,0,199
Nikola Vucevic,142,276,1,121
Noah Vonleh,0,1,0,2
Norman Powell,32,10,0,156
Norvel Pelle,3,14,0,2
OG Anunoby,71,26,1,137
Obi Toppin,28,52,1,31
Onyeka Okongwu,51,105,1,37
Oshae Brissett,18,27,1,32
Otto Porter Jr.,11,18,0,34
P.J. Tucker,71,77,10,71
P.J. Washington,109,119,1,148
PJ Dozier,19,5,0,64
Pascal Siakam,122,81,3,104
Pat Connaughton,37,27,3,67
Patrick Beverley,1,18,5,62
Patrick McCaw,1,1,0,4
Patrick Patterson,42,34,2,20
Patrick Williams,57,27,0,107
Patty Mills,28,27,6,86
Paul George,43,20,8,129
Paul Millsap,42,55,5,103
Paul Reed,6,13,0,20
Paul Watson,7,1,1,17
Payton Pritchard,19,6,3,80
Precious Achiuwa,64,102,1,40
Quinn Cook,1,3,0,4
Quinndary Weatherspoon,2,0,1,15
R.J. Hampton,6,6,1,44
RJ Barrett,45,12,0,107
Rajon Rondo,3,17,2,67
Raul Neto,21,16,11,114
Ray Spalding,0,2,0,1
Rayjon Tucker,0,1,2,4
Reggie Bullock,12,14,1,99
Reggie Jackson,20,18,0,56
Reggie Perry,22,22,1,6
Richaun Holmes,138,262,1,91
Ricky Rubio,11,33,1,156
Robert Covington,36,115,5,255
Robert Franks,5,5,1,2
Robert Williams III,60,133,0,80
Robert Woodard II,1,2,0,0
Robin Lopez,181,210,3,21
Rodions Kurucs,9,1,0,15
Rodney Hood,10,11,5,49
Rodney McGruder,4,3,0,14
Romeo Langford,3,1,4,11
Rondae Hollis-Jefferson,2,12,0,3
Royce O'Neale,52,43,0,115
Rudy Gay,38,39,2,97
Rudy Gobert,130,433,4,96
Rui Hachimura,63,48,1,72
Russell Westbrook,20,13,7,170
Ryan Arcidiacono,4,5,9,23
Saben Lee,4,8,5,54
Saddiq Bey,66,24,0,74
Sam Merrill,5,1,1,14
Sean McDermott,3,0,0,3
Sekou Doumbouya,49,31,0,47
Semi Ojeleye,33,18,7,20
Serge Ibaka,96,135,0,23
Seth Curry,17,14,3,81
Shai Gilgeous-Alexander,6,9,0,66
Shake Milton,16,9,2,58
Shaquille Harrison,2,2,0,36
Sindarius Thornwell,3,2,0,13
Skylar Mays,7,3,1,29
Solomon Hill,52,26,1,119
Spencer Dinwiddie,1,2,0,2
Stanley Johnson,43,26,0,94
Stephen Curry,28,76,9,134
Sterling Brown,48,11,1,71
Steven Adams,143,238,2,86
Svi Mykhailiuk,13,13,2,76
T.J. Leaf,2,1,0,2
T.J. McConnell,17,6,4,245
T.J. Warren,0,2,0,6
Tacko Fall,11,16,0,2
Taj Gibson,128,161,4,50
Talen Horton-Tucker,22,21,6,93
Taurean Prince,20,6,5,58
Terance Mann,20,15,0,68
Terence Davis,17,3,1,74
Terrance Ferguson,4,0,0,4
Terrence Ross,13,0,0,74
Terry Rozier,22,17,12,143
Thaddeus Young,88,178,19,146
Thanasis Antetokounmpo,9,25,2,52
Theo Maledon,17,6,0,86
Theo Pinson,1,0,0,1
Thomas Bryant,20,43,0,12
Thon Maker,2,3,0,2
Tim Frazier,2,1,0,5
Tim Hardaway Jr.,31,34,17,63
Timothe Luwawu-Cabarrot,58,11,4,47
Tobias Harris,63,40,0,86
Tomas Satoransky,21,18,1,77
Tony Bradley,79,100,0,24
Tony Snell,26,19,0,41
Torrey Craig,17,17,1,72
Trae Young,8,9,4,88
Tre Jones,1,2,0,17
Tremont Waters,2,2,0,30
Trent Forrest,4,4,0,17
Trevor Ariza,27,12,5,76
Trey Burke,12,17,1,55
Trey Lyles,20,13,0,16
Tristan Thompson,88,216,0,30
Troy Brown Jr.,14,0,1,26
Ty Jerome,5,5,0,46
Ty-Shon Alexander,1,0,0,1
Tyler Bey,3,2,0,3
Tyler Cook,7,30,0,18
Tyler Herro,24,27,0,58
Tyler Johnson,19,8,5,32
Tyrell Terry,0,0,1,8
Tyrese Haliburton,10,12,0,124
Tyrese Maxey,12,8,1,53
Tyus Jones,19,8,1,91
Udoka Azubuike,6,8,0,1
Udonis Haslem,1,0,1,0
Vernon Carey Jr.,4,6,0,3
Victor Oladipo,27,15,12,98
Vincent Poirier,3,6,0,1
Vlatko Cancar,12,5,0,12
Wayne Ellington,6,11,0,31
Wendell Carter Jr.,127,253,3,61
Wenyen Gabriel,12,8,0,12
Wes Iwundu,6,2,0,38
Wesley Matthews,41,8,3,70
Will Barton,9,9,2,88
Will Magnay,0,0,0,0
Willie Cauley-Stein,95,162,1,55
Willy Hernangomez,57,100,3,37
Xavier Tillman,130,161,0,76
Yogi Ferrell,0,2,0,8
Yuta Watanabe,31,14,1,34
Zach LaVine,26,19,0,77
Zeke Nnaji,21,11,0,22
Zion Williamson,48,119,1,109
