player,rolling_avg_pts,rolling_avg_ts_percent,rolling_avg_mvp_calc,rolling_avg_plusminus,team,season_avg_ppg,season_ts_percent,season_avg_plusminus,player_mvp_calc_adj,ppg_differential,ppg_diff_rank,ts_differential,ts_diff_rank,plusminus_differential,plusminus_diff_rank,mvp_calc_differential,mvp_calc_diff_rank
Franz Wagner,14.5,0.578,21.1,0.3,ORL,15.2,0.559,-3.1,20.6,-0.7,413rd,0.019,219th,3.4,54th,0.5,338th
Domantas Sabonis,18.1,0.615,29.1,-2.1,SAC,18.9,0.636,-0.2,28.34,-0.8,414th,-0.021,365th,-1.9,434th,0.76,316th
Kevin Durant,29.1,0.603,43.1,2.8,BKN,29.9,0.635,5.3,34.48,-0.8,415th,-0.032,403rd,-2.5,471st,8.62,40th
Thomas Bryant,6.6,0.673,10.3,0.2,WAS,7.4,0.607,-2.8,7.73,-0.8,416th,0.066,103rd,3,67th,2.57,198th
Khem Birch,3.7,0.552,6.7,-0.1,TOR,4.5,0.534,0.4,7.49,-0.8,417th,0.018,226th,-0.5,340th,-0.79,442nd
David Nwaba,4.3,0.578,4.8,-4.7,HOU,5.1,0.567,-2.5,6,-0.8,418th,0.011,245th,-2.2,451st,-1.2,457th
Rudy Gobert,14.8,0.735,24.6,3.1,UTA,15.6,0.732,6,30.4,-0.8,419th,0.003,271st,-2.9,488th,-5.8,561st
Day'Ron Sharpe,5.4,0.629,10.8,2.2,BKN,6.2,0.593,1.5,7.8,-0.8,420th,0.036,175th,0.7,159th,3,177th
Mason Plumlee,5.7,0.67,9.9,-4.3,CHA,6.5,0.603,0.1,16.1,-0.8,421st,0.067,101st,-4.4,533rd,-6.2,567th
Greg Monroe,4.6,0.57,9.1,0.5,MIN,5.4,0.566,0.4,8.63,-0.8,422nd,0.004,265th,0.1,199th,0.47,342nd
Reggie Jackson,15.9,0.435,21.1,-3.8,LAC,16.8,0.488,-1.1,23.7,-0.9,423rd,-0.053,444th,-2.7,484th,-2.6,494th
Andre Iguodala,3.1,0.525,8.2,-1.1,GSW,4,0.478,3.4,10.95,-0.9,424th,0.047,146th,-4.5,536th,-2.75,498th
Ja Morant,26.5,0.545,46.7,5.4,MEM,27.4,0.575,3.3,32.8,-0.9,425th,-0.03,396th,2.1,96th,13.9,8th
OG Anunoby,16.2,0.591,23.2,1.3,TOR,17.1,0.548,2.9,20.03,-0.9,426th,0.043,159th,-1.6,422nd,3.17,170th
Killian Tillie,2.4,0.356,4,-1.2,MEM,3.3,0.452,0.8,5.25,-0.9,427th,-0.096,518th,-2,439th,-1.25,458th
Isaiah Joe,2.7,0.611,4.4,3,PHI,3.6,0.519,0.7,4.29,-0.9,428th,0.092,71st,2.3,85th,0.11,378th
Maurice Harkless,3.7,0.637,3.7,-3.8,SAC,4.6,0.561,-1.9,5.18,-0.9,429th,0.076,87th,-1.9,431st,-1.48,468th
Scottie Barnes,14.4,0.57,24.1,0.2,TOR,15.3,0.552,0.8,25.5,-0.9,430th,0.018,223rd,-0.6,349th,-1.4,463rd
Nik Stauskas,1.3,0.717,2.1,0.2,BOS,2.3,0.541,2.3,2.85,-1,431st,0.176,26th,-2.1,447th,-0.75,440th
Markieff Morris,6.6,0.474,9.1,1,MIA,7.6,0.547,1.1,7.95,-1,432nd,-0.073,487th,-0.1,320th,1.15,283rd
Charlie Brown,0.4,0.258,0.5,-0.5,PHI,1.4,0.346,-0.9,2.25,-1,433rd,-0.088,508th,0.4,184th,-1.75,475th
Tim Hardaway,13.2,0.566,18.8,3.5,DAL,14.2,0.52,0.9,15.45,-1,434th,0.046,149th,2.6,78th,3.35,157th
Justin Champagnie,1.3,0.597,2.4,-0.5,TOR,2.3,0.571,1.4,3.53,-1,435th,0.026,206th,-1.9,435th,-1.13,452nd
Thaddeus Young,5.2,0.566,14.7,5.4,TOR,6.2,0.547,0.7,9.6,-1,436th,0.019,220th,4.7,27th,5.1,91st
Gorgui Dieng,2.5,0.625,3.1,-1.5,ATL,3.5,0.624,-1.4,4.28,-1,437th,0.001,277th,-0.1,317th,-1.18,455th
D.J. Augustin,4.3,0.523,6.6,-1.8,LAL,5.3,0.61,-3.2,4.99,-1,438th,-0.087,507th,1.4,124th,1.61,250th
Robert Williams,8.9,0.748,19.5,3.2,BOS,10,0.745,6.1,22.95,-1.1,439th,0.003,272nd,-2.9,492nd,-3.45,513rd
Tyler Cook,2.3,0.492,2.9,-1.5,CHI,3.4,0.643,-1.4,3.38,-1.1,440th,-0.151,566th,-0.1,321st,-0.48,421st
Dennis Smith,4.5,0.477,13.5,0.1,POR,5.6,0.474,-3.7,8.48,-1.1,441st,0.003,268th,3.8,46th,5.02,92nd
Jabari Parker,3.3,0.534,4.5,-0.6,BOS,4.4,0.632,-0.6,4.43,-1.1,442nd,-0.098,521st,0,248th,0.07,383rd
Timothe Luwawu-Cabarrot,3.3,0.448,4.6,-0.5,ATL,4.4,0.556,-1,4.65,-1.1,443rd,-0.108,535th,0.5,175th,-0.05,392nd
Klay Thompson,19.2,0.603,25.9,-0.1,GSW,20.4,0.547,2.1,20.7,-1.2,444th,0.056,120th,-2.2,450th,5.2,88th
Bradley Beal,22,0.542,31,-4.4,WAS,23.2,0.539,-2.6,23.78,-1.2,445th,0.003,270th,-1.8,427th,7.22,54th
Ricky Rubio,11.9,0.474,31.4,8.2,CLE,13.1,0.488,5.5,20.4,-1.2,446th,-0.014,343rd,2.7,73rd,11,24th
Ziaire Williams,6.9,0.539,7.4,-3.7,MEM,8.1,0.559,2,11.22,-1.2,447th,-0.02,363rd,-5.7,556th,-3.82,524th
Nicolas Batum,7.1,0.657,13.9,-1.1,LAC,8.3,0.608,-2.1,12.38,-1.2,448th,0.049,140th,1,148th,1.52,257th
