player,rolling_avg_pts,rolling_avg_ts_percent,rolling_avg_mvp_calc,rolling_avg_plusminus,team,season_avg_ppg,season_ts_percent,season_avg_plusminus,player_mvp_calc_adj,ppg_differential,ppg_diff_rank,ts_differential,ts_diff_rank,plusminus_differential,plusminus_diff_rank,mvp_calc_differential,mvp_calc_diff_rank
Luca Vildoza,0.7,0.375,1.4,-1.7,NA,NA,NA,NA,NA,NA,1st,NA,7th,NA,1st,NA,1st
Obi Toppin,20,0.698,31.2,6.2,NYK,9,0.614,2.3,14.1,11,2nd,0.084,80th,3.9,44th,17.1,3rd
Drew Eubanks,17.8,0.697,17.7,-15.7,POR,7.7,0.638,-4.6,10.2,10.1,3rd,0.059,117th,-11.1,601st,7.5,50th
Jalen Green,26.1,0.589,31.2,0.9,HOU,17.3,0.547,-7.7,17.8,8.8,4th,0.042,166th,8.6,2nd,13.4,13th
Trendon Watford,16.4,0.567,19.3,-13.2,POR,7.6,0.59,-7.3,7.05,8.8,5th,-0.023,372nd,-5.9,559th,12.25,20th
Damian Jones,16.6,0.766,22.9,-4.6,SAC,8.1,0.701,-3.1,9.28,8.5,6th,0.065,107th,-1.5,409th,13.62,10th
Oshae Brissett,17.1,0.576,23,-4.6,IND,9.1,0.53,-3.3,12.7,8,7th,0.046,151st,-1.3,397th,10.3,27th
Davion Mitchell,19.5,0.521,30.4,-5.8,SAC,11.5,0.488,-3.6,16.9,8,8th,0.033,184th,-2.2,449th,13.5,12th
Kevin Porter,23.5,0.592,36.6,-0.6,HOU,15.6,0.532,-4.6,20.7,7.9,9th,0.06,115th,4,42nd,15.9,5th
Theo Maledon,14.8,0.572,25.6,4.2,OKC,7.1,0.5,-3.9,7.05,7.7,10th,0.072,91st,8.1,5th,18.55,2nd
Anfernee Simons,24.8,0.606,25.5,-8.5,POR,17.3,0.583,-1.5,18.04,7.5,11th,0.023,211st,-7,576th,7.46,51st
Goga Bitadze,14.4,0.713,22.5,-3.1,IND,7,0.595,-0.6,8.48,7.4,12th,0.118,47th,-2.5,472nd,14.02,7th
Nikola Jokic,34.4,0.673,50.1,0.4,DEN,27.1,0.661,6,47.8,7.3,13th,0.012,243rd,-5.6,553rd,2.3,206th
De'Aaron Fox,30.2,0.583,43.4,0.3,SAC,23.2,0.549,-3.3,26.4,7,14th,0.034,180th,3.6,49th,17,4th
Isaiah Roby,17,0.661,26.1,-2.6,OKC,10.1,0.607,-4.1,10.88,6.9,15th,0.054,125th,1.5,118th,15.22,6th
Bruce Brown,15.6,0.624,26.8,-1.2,BKN,9,0.575,-0.4,16.7,6.6,16th,0.049,143rd,-0.8,353rd,10.1,29th
Darius Bazley,17.4,0.592,15.5,-13.8,OKC,10.8,0.516,-6.8,14.4,6.6,17th,0.076,88th,-7,575th,1.1,290th
Immanuel Quickley,17.5,0.541,33.1,6.2,NYK,11.3,0.543,3.4,19.4,6.2,18th,-0.002,316th,2.8,71st,13.7,9th
Jimmy Butler,27.4,0.57,41.7,2.7,MIA,21.4,0.592,4.3,29.27,6,19th,-0.022,370th,-1.6,414th,12.43,19th
Tre Mann,16.3,0.511,14.8,-13.2,OKC,10.4,0.501,-4.6,10.56,5.9,20th,0.01,247th,-8.6,590th,4.24,124th
Malik Monk,19.6,0.602,24.9,-1.9,LAL,13.8,0.597,0.7,20.1,5.8,21st,0.005,262nd,-2.6,478th,4.8,107th
Aleksej Pokusevski,13.3,0.545,25.3,2.6,OKC,7.6,0.485,-0.7,11.97,5.7,22nd,0.06,116th,3.3,55th,13.33,14th
Keon Johnson,12.9,0.497,14.2,-12.2,POR,7.2,0.455,-7.8,5.85,5.7,23rd,0.042,165th,-4.4,529th,8.35,43rd
Ignas Brazdeikis,10.6,0.53,7.7,-12,ORL,5,0.52,-4.1,3.83,5.6,24th,0.01,248th,-7.9,584th,3.87,139th
Justise Winslow,11.2,0.431,21.8,1,POR,5.7,0.479,0.6,8.78,5.5,25th,-0.048,439th,0.4,182nd,13.02,16th
Patrick Williams,14.4,0.607,12.3,-13.5,CHI,9,0.637,-3.3,8.55,5.4,26th,-0.03,394th,-10.2,600th,3.75,141st
Ben McLemore,15.4,0.683,14.6,-9.2,POR,10.2,0.567,-5.5,9.5,5.2,27th,0.116,49th,-3.7,512nd,5.1,90th
Dwight Howard,11.2,0.639,13.1,-7.3,LAL,6.2,0.657,-2.1,8.98,5,28th,-0.018,357th,-5.2,550th,4.12,129th
Jalen Smith,14.2,0.604,19.3,-3.2,IND,9.2,0.595,0.6,10.65,5,29th,0.009,249th,-3.8,516th,8.65,39th
Keldon Johnson,21.9,0.595,34,6.6,SAS,17,0.574,0.9,23.8,4.9,30th,0.021,217th,5.7,15th,10.2,28th
Deni Avdija,13,0.566,17.8,-5.9,WAS,8.4,0.536,-0.8,14.5,4.6,31st,0.03,194th,-5.1,546th,3.3,162nd
Kentavious Caldwell-Pope,17.8,0.63,21.2,-1,WAS,13.2,0.567,-3,17.2,4.6,32nd,0.063,109th,2,99th,4,137th
Shai Gilgeous-Alexander,29,0.607,40.1,-6.7,OKC,24.5,0.558,-4.7,26.8,4.5,33rd,0.049,141st,-2,437th,13.3,15th
Marcus Smart,16.6,0.574,31.2,4.2,BOS,12.1,0.541,6.2,26.5,4.5,34th,0.033,185th,-2,440th,4.7,112nd
Tre Jones,10.5,0.645,22.4,2.7,SAS,6,0.545,0,12.6,4.5,35th,0.1,60th,2.7,74th,9.8,30th
Killian Hayes,11.3,0.529,19.3,-5.4,DET,6.9,0.461,-5.6,12.9,4.4,36th,0.068,98th,0.2,195th,6.4,65th
Josh Christopher,12.2,0.542,17.4,-3.1,HOU,7.9,0.534,-3.7,10.2,4.3,37th,0.008,252nd,0.6,166th,7.2,55th
Anthony Edwards,25.6,0.597,31.1,-3.3,MIN,21.3,0.561,2.6,30.9,4.3,38th,0.036,177th,-5.9,558th,0.2,368th
Wendell Carter,19.2,0.626,28.9,2,ORL,15,0.601,-2.2,21.16,4.2,39th,0.025,210th,4.2,36th,7.74,48th
Robert Covington,12.5,0.753,22.1,7.1,LAC,8.5,0.571,0.5,17.4,4,40th,0.182,24th,6.6,10th,4.7,113rd
Bruno Fernando,6.9,0.664,9.8,0,HOU,2.9,0.671,-1.1,2.78,4,41st,-0.007,326th,1.1,142nd,7.02,58th
Corey Kispert,12.2,0.632,17,0.6,WAS,8.2,0.586,0.5,12,4,42nd,0.046,148th,0.1,197th,5,94th
LeBron James,34.2,0.623,43.2,-5.7,LAL,30.3,0.619,-2.1,33.76,3.9,43rd,0.004,264th,-3.6,508th,9.44,32nd
Devin Vassell,16.2,0.585,25.2,1.6,SAS,12.3,0.54,0.7,19.7,3.9,44th,0.045,153rd,0.9,150th,5.5,77th
Luguentz Dort,21.1,0.569,24.6,-3.2,OKC,17.2,0.541,-5.8,14.18,3.9,45th,0.028,201st,2.6,75th,10.42,25th
Alec Burks,15.6,0.655,28.2,7.8,NYK,11.7,0.559,1.5,20.4,3.9,46th,0.096,65th,6.3,12th,7.8,47th
Josh Giddey,16.3,0.522,26.3,-3.6,OKC,12.5,0.478,-5.5,15.96,3.8,47th,0.044,156th,1.9,104th,10.34,26th
Vit Krejci,10,0.547,14.1,-8.8,OKC,6.2,0.529,-6,6.08,3.8,48th,0.018,224th,-2.8,486th,8.02,45th
Josh Hart,18.7,0.542,21.1,-12.7,POR,14.9,0.61,-3.7,17.1,3.8,49th,-0.068,471st,-9,591st,4,135th
De'Andre Hunter,17.2,0.569,17.3,-2.5,ATL,13.4,0.547,0.5,13.05,3.8,50th,0.022,212nd,-3,496th,4.25,122nd
Lindy Waters,11.7,0.629,18,2.4,OKC,8,0.562,-1.6,8.7,3.7,51st,0.067,100th,4,40th,9.3,34th
Damian Lillard,27.7,0.576,32.3,-7.2,POR,24,0.55,-1,25.58,3.7,52nd,0.026,207th,-6.2,567th,6.72,62nd
Russell Westbrook,22.2,0.591,30.1,-6.3,LAL,18.5,0.512,-2.7,28.2,3.7,53rd,0.079,84th,-3.6,507th,1.9,228th
Jalen Brunson,19.9,0.553,28.4,1.7,DAL,16.3,0.583,2.9,26.2,3.6,54th,-0.03,397th,-1.2,385th,2.2,212nd
Donte DiVincenzo,12.6,0.548,22,1.9,SAC,9,0.51,-1.8,10.88,3.6,55th,0.038,169th,3.7,48th,11.12,23rd
Moses Brown,7.9,0.76,9.2,-5.1,CLE,4.3,0.612,-1.2,4.35,3.6,56th,0.148,36th,-3.9,519th,4.85,103rd
Marvin Bagley,14.9,0.595,18.4,-4.9,DET,11.3,0.551,-2.8,11.25,3.6,57th,0.044,154th,-2.1,445th,7.15,56th
Pascal Siakam,26.3,0.569,40.3,-3.2,TOR,22.8,0.565,3.7,36.7,3.5,58th,0.004,267th,-6.9,573rd,3.6,148th
Rui Hachimura,14.8,0.521,19.2,-1.4,WAS,11.3,0.579,-3,10.35,3.5,59th,-0.058,450th,1.6,114th,8.85,38th
Greg Brown,8.2,0.601,9.5,-8,POR,4.7,0.517,-5,4.2,3.5,60th,0.084,81st,-3,495th,5.3,84th
Alperen Sengun,13,0.573,20,-4.7,HOU,9.6,0.552,-4.3,14.5,3.4,61st,0.021,215th,-0.4,336th,5.5,78th
Danny Green,9,0.726,12.3,0,PHI,5.9,0.561,1.3,10.4,3.1,62nd,0.165,29th,-1.3,394th,1.9,226th
Isaiah Jackson,11.4,0.598,18.1,-0.5,IND,8.3,0.607,-1.1,9.6,3.1,63rd,-0.009,331st,0.6,173rd,8.5,41st
Julius Randle,23.1,0.484,36.4,5.9,NYK,20.1,0.509,-2.3,29.1,3,64th,-0.025,382nd,8.2,3rd,7.3,53rd
Kristaps Porzingis,23.2,0.586,36.4,1,WAS,20.2,0.577,0.6,22.8,3,65th,0.009,250th,0.4,186th,13.6,11th
CJ Elleby,8.7,0.534,9.4,-13.9,POR,5.8,0.491,-6,6.3,2.9,66th,0.043,160th,-7.9,583rd,3.1,173rd
Aaron Wiggins,11.2,0.497,9.9,-8.4,OKC,8.3,0.556,-4.7,7.28,2.9,67th,-0.059,454th,-3.7,514th,2.62,197th
Olivier Sarr,9.9,0.809,16.6,4,OKC,7,0.672,-1.3,7.58,2.9,68th,0.137,41st,5.3,19th,9.02,35th
Josh Richardson,13.1,0.626,21.5,4.1,SAS,10.2,0.573,2.1,16.17,2.9,69th,0.053,130th,2,101st,5.33,81st
Austin Reaves,10.2,0.497,17.6,-2.9,LAL,7.3,0.6,0.9,11.34,2.9,70th,-0.103,530th,-3.8,517th,6.26,67th
Lamar Stevens,8.9,0.556,13.3,1.4,CLE,6.1,0.544,-0.6,8.18,2.8,71st,0.012,242nd,2,98th,5.12,89th
Rodney McGruder,8.2,0.522,10.5,-3.7,DET,5.4,0.575,-1.1,5.78,2.8,72nd,-0.053,442nd,-2.6,479th,4.72,110th
RJ Barrett,22.8,0.502,28.2,-0.7,NYK,20,0.511,-2.1,24.8,2.8,73rd,-0.009,330th,1.4,125th,3.4,155th
Zach Collins,10.6,0.665,19.9,3.4,SAS,7.8,0.594,1.4,10.95,2.8,74th,0.071,92nd,2,103rd,8.95,36th
Nassir Little,12.5,0.551,20.7,4.3,POR,9.8,0.575,-0.5,11.78,2.7,75th,-0.024,374th,4.8,25th,8.92,37th
Jose Alvarado,8.8,0.614,10.6,-5.2,NOP,6.1,0.52,2.6,10.94,2.7,76th,0.094,67th,-7.8,582nd,-0.34,413rd
Kyle Kuzma,19.7,0.527,26,-6.6,WAS,17.1,0.547,-4.2,23.8,2.6,77th,-0.02,360th,-2.4,462nd,2.2,213rd
Anthony Gill,6.7,0.744,10.4,0.4,WAS,4.1,0.682,1.4,5.1,2.6,78th,0.062,114th,-1,372nd,5.3,85th
Jordan McLaughlin,6.4,0.792,13.6,0.6,MIN,3.8,0.535,0.6,9.57,2.6,79th,0.257,15th,0,222nd,4.03,133rd
LaMelo Ball,22.7,0.584,38.7,2.7,CHA,20.1,0.554,1.3,34.5,2.6,80th,0.03,192nd,1.4,126th,4.2,126th
Chris Boucher,11.9,0.707,18.2,1.1,TOR,9.4,0.571,2.4,16.4,2.5,81st,0.136,42nd,-1.3,392nd,1.8,234th
Danilo Gallinari,14.2,0.554,15.7,-2.1,ATL,11.7,0.579,1.6,17.5,2.5,82nd,-0.025,383rd,-3.7,515th,-1.8,479th
Cade Cunningham,19.9,0.516,28.7,-3.1,DET,17.4,0.504,-4.3,23.71,2.5,83rd,0.012,239th,1.2,140th,4.99,95th
Ish Smith,8.8,0.515,17.8,-4.5,WAS,6.3,0.466,-2.4,11.96,2.5,84th,0.049,142nd,-2.1,441st,5.84,73rd
Brandon Ingram,25.1,0.573,34.2,2.2,NOP,22.7,0.554,2.2,25.82,2.4,85th,0.019,222nd,0,243rd,8.38,42nd
Terence Davis,12.8,0.569,19.9,1.6,SAC,10.4,0.543,2,11.78,2.4,86th,0.026,208th,-0.4,333rd,8.12,44th
Ish Wainright,4.8,0.529,10,4.3,PHX,2.4,0.494,0.9,3.53,2.4,87th,0.035,178th,3.4,51st,6.47,64th
Isaiah Livers,8.8,0.665,14.6,0.9,DET,6.4,0.629,-0.5,7.73,2.4,88th,0.036,176th,1.4,123rd,6.87,59th
Luka Doncic,30.8,0.558,45.9,0.9,DAL,28.4,0.571,2.2,43.02,2.4,89th,-0.013,340th,-1.3,396th,2.88,183rd
Jericho Sims,4.6,0.727,14.9,6.5,NYK,2.2,0.674,1.9,5.18,2.4,90th,0.053,129th,4.6,30th,9.72,31st
Terry Taylor,11.9,0.633,11.3,-10.1,IND,9.6,0.659,-3.5,9.53,2.3,91st,-0.026,385th,-6.6,572nd,1.77,237th
Lauri Markkanen,17.1,0.648,22.5,2,CLE,14.8,0.582,2.8,19.98,2.3,92nd,0.066,104th,-0.8,352nd,2.52,199th
Dejounte Murray,23.4,0.559,39.3,0.4,SAS,21.1,0.533,0.8,40.3,2.3,93rd,0.026,204th,-0.4,334th,-1,447th
Buddy Hield,17.9,0.584,22.5,-7.1,IND,15.6,0.549,-2,20.6,2.3,94th,0.035,179th,-5.1,548th,1.9,227th
KZ Okpala,6,0.574,11.7,3.4,MIA,3.7,0.521,0.3,4.88,2.3,95th,0.053,133rd,3.1,64th,6.82,60th
Moritz Wagner,11.3,0.59,15.5,-3.5,ORL,9,0.623,-2.4,10.72,2.3,96th,-0.033,409th,-1.1,375th,4.78,109th
Mohamed Bamba,12.9,0.612,21.6,-1.4,ORL,10.6,0.581,-5.3,16.7,2.3,97th,0.031,190th,3.9,45th,4.9,101st
Udoka Azubuike,6.9,0.702,11.8,3.1,UTA,4.7,0.743,0,5.33,2.2,98th,-0.041,421st,3.1,61st,6.47,63rd
Tyrese Haliburton,17.5,0.634,34.4,-4.4,IND,15.3,0.596,-4.2,28.3,2.2,99th,0.038,171st,-0.2,326th,6.1,69th
Darius Garland,23.9,0.578,40.6,6.2,CLE,21.7,0.576,5.5,36.3,2.2,100th,0.002,273rd,0.7,162nd,4.3,120th
R.J. Hampton,9.8,0.554,11.1,-9.2,ORL,7.6,0.481,-6.5,8.93,2.2,101st,0.073,89th,-2.7,483rd,2.17,216th
Giannis Antetokounmpo,32,0.559,49,5.9,MIL,29.9,0.633,5.9,47.3,2.1,102nd,-0.074,488th,0,273rd,1.7,241st
Lance Stephenson,10.3,0.589,8.8,-12,IND,8.3,0.536,-2.4,9.53,2,103rd,0.053,132nd,-9.6,595th,-0.73,439th
Sandro Mamukelashvili,5.8,0.985,6.7,-2.7,MIL,3.8,0.618,-3.5,3.08,2,104th,0.367,12th,0.8,156th,3.62,146th
Admiral Schofield,5.7,0.502,4,-7.7,ORL,3.8,0.538,-3.4,3,1.9,105th,-0.036,412nd,-4.3,525th,1,295th
Norman Powell,20.9,0.675,22.7,-5.4,LAC,19,0.603,-4.9,16.35,1.9,106th,0.072,90th,-0.5,341st,6.35,66th
Chuma Okeke,10.4,0.473,15.4,-5.4,ORL,8.6,0.5,-4.5,14.1,1.8,107th,-0.027,389th,-0.9,371st,1.3,272nd
Precious Achiuwa,10.9,0.524,12.4,-4,TOR,9.1,0.503,1.1,15,1.8,108th,0.021,216th,-5.1,545th,-2.6,495th
Brandon Clarke,12.2,0.638,19.7,-0.8,MEM,10.4,0.66,2.8,18.24,1.8,109th,-0.022,369th,-3.6,511st,1.46,259th
Kevin Knox,4.9,0.468,5.9,-0.9,ATL,3.1,0.491,-2.3,2.4,1.8,110th,-0.023,371st,1.4,122nd,3.5,151st
Reggie Bullock,10.3,0.533,17.6,2.9,DAL,8.6,0.558,4,14.9,1.7,111st,-0.025,381st,-1.1,374th,2.7,190th
Justin Anderson,8.1,0.403,12.1,-5.8,IND,6.4,0.493,-0.9,8.55,1.7,112nd,-0.09,512nd,-4.9,544th,3.55,150th
Aaron Gordon,16.7,0.632,25,1.4,DEN,15,0.602,4.3,23.5,1.7,113rd,0.03,195th,-2.9,490th,1.5,258th
Wenyen Gabriel,7.1,0.645,12.7,3.9,LAL,5.4,0.549,1.7,6.98,1.7,114th,0.096,66th,2.2,92nd,5.72,74th
Tomas Satoransky,5.3,0.515,19.2,2.3,WAS,3.6,0.461,-3,6.47,1.7,115th,0.054,124th,5.3,17th,12.73,18th
Stanley Johnson,8.4,0.547,11.7,-3,LAL,6.7,0.564,-1,8.7,1.7,116th,-0.017,352nd,-2,438th,3,178th
Kevon Looney,7.7,0.686,19.3,2.3,GSW,6,0.586,1.9,14.8,1.7,117th,0.1,61st,0.4,179th,4.5,116th
Juancho Hernangomez,4.9,0.47,11.8,7.4,UTA,3.3,0.542,-0.1,4.35,1.6,118th,-0.072,485th,7.5,7th,7.45,52nd
Trey Murphy,7,0.6,13,5.3,NOP,5.4,0.558,0,7.45,1.6,119th,0.042,163rd,5.3,18th,5.55,76th
Jusuf Nurkic,16.6,0.586,24.4,-3.1,POR,15,0.586,0.2,19.6,1.6,120th,0,310th,-3.3,502nd,4.8,106th
Elijah Hughes,5.1,0.456,5,-7.6,POR,3.5,0.426,-6.4,1.88,1.6,121st,0.03,193rd,-1.2,388th,3.12,172nd
Jrue Holiday,19.9,0.465,34.9,1.9,MIL,18.3,0.593,6.4,33.9,1.6,122nd,-0.128,551st,-4.5,534th,1,296th
Trey Lyles,12.1,0.557,16.1,-3.2,SAC,10.5,0.588,-3.1,13.4,1.6,123rd,-0.031,401st,-0.1,318th,2.7,189th
Christian Wood,19.4,0.687,28.3,-2,HOU,17.9,0.594,-6,24.1,1.5,124th,0.093,69th,4,41st,4.2,125th
Daniel Gafford,10.9,0.749,14.8,-4.2,WAS,9.4,0.709,-2.9,14.4,1.5,125th,0.04,167th,-1.3,391st,0.4,348th
Keljin Blevins,4.6,0.319,4.4,-7.5,POR,3.1,0.41,-6.7,1.13,1.5,126th,-0.091,513rd,-0.8,359th,3.27,163rd
Joshua Primo,7.3,0.419,11.3,0.6,SAS,5.8,0.487,-1.6,6.45,1.5,127th,-0.068,473rd,2.2,90th,4.85,104th
Saben Lee,7.1,0.458,14.3,-1.6,DET,5.6,0.499,-2.2,8.33,1.5,128th,-0.041,423rd,0.6,171st,5.97,71st
Jared Butler,5.3,0.344,12.4,4.4,UTA,3.8,0.509,-0.4,4.8,1.5,129th,-0.165,576th,4.8,24th,7.6,49th
Wayne Ellington,8.1,0.627,11.8,0.8,LAL,6.7,0.593,-1.4,6.45,1.4,130th,0.034,183rd,2.2,87th,5.35,80th
Lonzo Ball,14.4,0.626,25.8,-2.5,CHI,13,0.575,2.3,19.8,1.4,131st,0.051,138th,-4.8,541st,6,70th
Bogdan Bogdanovic,16.5,0.578,27.9,5.1,ATL,15.1,0.562,3,22.65,1.4,132nd,0.016,234th,2.1,97th,5.25,87th
Denzel Valentine,4.2,0.581,6.2,-0.1,UTA,2.9,0.523,-1.1,2.85,1.3,133rd,0.058,118th,1,146th,3.35,160th
Duane Washington,11.2,0.546,13.3,-1.5,IND,9.9,0.521,-2.6,8.63,1.3,134th,0.025,209th,1.1,144th,4.67,114th
Nathan Knight,5,0.739,8.4,1.9,MIN,3.7,0.603,0.6,4.58,1.3,135th,0.136,43rd,1.3,129th,3.82,140th
Delon Wright,5.7,0.552,17.3,7.6,ATL,4.4,0.576,0.8,12,1.3,136th,-0.024,375th,6.8,9th,5.3,83rd
Tyrese Maxey,18.8,0.562,22.5,-4.2,PHI,17.5,0.594,2.7,27.5,1.3,137th,-0.032,405th,-6.9,574th,-5,546th
Chimezie Metu,10.2,0.555,13.4,-3.9,SAC,8.9,0.546,-2.6,11.53,1.3,138th,0.009,251st,-1.3,393rd,1.87,230th
Jeremiah Robinson-Earl,8.8,0.588,12.3,-4.3,OKC,7.5,0.526,-4.9,7.43,1.3,139th,0.062,113rd,0.6,174th,4.87,102nd
Grant Williams,9,0.474,16.5,7,BOS,7.8,0.635,1.9,13.3,1.2,140th,-0.161,573rd,5.1,20th,3.2,169th
Georgios Kalaitzakis,7.8,0.642,4.4,-12.2,OKC,6.6,0.536,-10.3,2.48,1.2,141st,0.106,52nd,-1.9,432nd,1.92,224th
Kenrich Williams,8.6,0.53,16.2,-2,OKC,7.4,0.532,0.5,10.5,1.2,142nd,-0.002,314th,-2.5,469th,5.7,75th
Santi Aldama,5.3,0.424,7.3,-2,MEM,4.1,0.452,0.5,5.25,1.2,143rd,-0.028,390th,-2.5,473rd,2.05,221st
Miles McBride,3.4,0.582,5.9,-0.2,NYK,2.2,0.393,2.5,4.58,1.2,144th,0.189,21st,-2.7,482nd,1.32,268th
DeAndre Jordan,5.5,0.799,6.2,-6.1,PHI,4.3,0.641,-3.1,5.25,1.2,145th,0.158,31st,-3,494th,0.95,303rd
Luka Garza,7,0.637,10.2,0.2,DET,5.8,0.535,-2,5.55,1.2,146th,0.102,58th,2.2,91st,4.65,115th
P.J. Washington,11.5,0.676,22.6,3.1,CHA,10.3,0.586,2.2,18.72,1.2,147th,0.09,74th,0.9,151st,3.88,138th
Jae Crowder,10.6,0.596,15.3,-3.9,PHX,9.4,0.541,5.9,20.3,1.2,148th,0.055,123rd,-9.8,598th,-5,545th
Isaiah Hartenstein,9.4,0.681,21.3,6.9,LAC,8.3,0.664,2.2,17.3,1.1,149th,0.017,227th,4.7,28th,4,136th
Markelle Fultz,11.9,0.495,20.9,-1.7,ORL,10.8,0.517,-2.1,14.18,1.1,150th,-0.022,367th,0.4,183rd,6.72,61st
Taj Gibson,5.5,0.649,7.8,-3.7,NYK,4.4,0.606,0.8,7.13,1.1,151st,0.043,158th,-4.5,538th,0.67,328th
Talen Horton-Tucker,11.1,0.477,16.6,-2,LAL,10,0.503,-1.5,13.73,1.1,152nd,-0.026,386th,-0.5,345th,2.87,184th
Desmond Bane,19.2,0.621,30.6,9.3,MEM,18.2,0.592,4.8,27.9,1,153rd,0.029,196th,4.5,32nd,2.7,192nd
Kira Lewis,6.9,0.571,10.5,0.1,NOP,5.9,0.466,-4.5,5.18,1,154th,0.105,55th,4.6,31st,5.32,82nd
Miles Bridges,21.1,0.621,26,-4.7,CHA,20.1,0.593,1.8,30.9,1,155th,0.028,199th,-6.5,570th,-4.9,544th
Paul Reed,4.1,0.662,8.2,-1.6,PHI,3.1,0.568,-0.7,4.95,1,156th,0.094,68th,-0.9,365th,3.25,165th
Jamorko Pickett,4.7,0.49,7.8,-0.8,DET,3.8,0.491,0,4.8,0.9,157th,-0.001,312nd,-0.8,361st,3,179th
Sam Hauser,3.4,0.574,5.5,0.3,BOS,2.5,0.65,0,2.85,0.9,158th,-0.076,492nd,0.3,188th,2.65,195th
Keita Bates-Diop,6.6,0.59,8,-0.7,SAS,5.7,0.578,0.1,7.65,0.9,159th,0.012,241st,-0.8,354th,0.35,350th
Usman Garuba,2.9,0.639,8.4,-0.1,HOU,2,0.51,1.4,5.18,0.9,160th,0.129,44th,-1.5,413rd,3.22,168th
Pat Connaughton,10.8,0.683,15.7,1.3,MIL,9.9,0.62,-0.4,14.9,0.9,161st,0.063,110th,1.7,113rd,0.8,310th
Ty Jerome,7.9,0.44,13.6,-3.4,OKC,7,0.486,-0.1,8.63,0.9,162nd,-0.046,433rd,-3.3,501st,4.97,97th
Jake Layman,3.3,0.781,6.3,4.2,MIN,2.4,0.5,-0.3,2.55,0.9,163rd,0.281,13th,4.5,33rd,3.75,143rd
Lonnie Walker,13,0.499,17.6,0.3,SAS,12.1,0.512,-0.9,16.5,0.9,164th,-0.013,342nd,1.2,138th,1.1,289th
Andre Drummond,8.8,0.561,15.2,-1.1,BKN,7.9,0.574,0.8,17.4,0.9,165th,-0.013,341st,-1.9,433rd,-2.2,486th
Trevor Ariza,4.9,0.451,8.5,-1.9,LAL,4,0.449,-2.3,5.25,0.9,166th,0.002,274th,0.4,185th,3.25,167th
Bones Hyland,11,0.559,20.1,3,DEN,10.1,0.558,0.6,15.8,0.9,167th,0.001,275th,2.4,82nd,4.3,119th
PJ Dozier,6.2,0.45,8.9,-5,DEN,5.4,0.463,-5.1,5.85,0.8,168th,-0.013,339th,0.1,203rd,3.05,176th
Semi Ojeleye,4.1,0.678,4.7,-1.6,LAC,3.3,0.438,-4.8,2.25,0.8,169th,0.24,16th,3.2,59th,2.45,200th
Quentin Grimes,6.9,0.472,10.2,-2.7,NYK,6.1,0.565,-1.2,6.75,0.8,170th,-0.093,514th,-1.5,410th,3.45,154th
Draymond Green,8.3,0.536,21.2,2.9,GSW,7.5,0.582,3.8,17.93,0.8,171st,-0.046,434th,-0.9,366th,3.27,164th
Leandro Bolmaro,2.2,0.356,6.1,3.8,MIN,1.4,0.419,0.1,2.1,0.8,172nd,-0.063,464th,3.7,47th,4,134th
Larry Nance,7.8,0.559,14.3,0.2,NOP,7,0.59,-1.3,9.9,0.8,173rd,-0.031,400th,1.5,117th,4.4,118th
Braxton Key,7.9,0.56,16.2,2.7,DET,7.2,0.508,2.5,11.18,0.7,174th,0.052,135th,0.2,192nd,5.02,93rd
Mamadi Diakite,5,0.552,8.8,-1.6,OKC,4.3,0.54,-0.9,5.85,0.7,175th,0.012,238th,-0.7,351st,2.95,181st
Tony Snell,4.2,0.489,3.7,-4.5,NOP,3.5,0.541,-2.2,3.53,0.7,176th,-0.052,441st,-2.3,457th,0.17,372nd
Danuel House,6.6,0.583,13.6,9.3,UTA,5.9,0.555,1.5,7.65,0.7,177th,0.028,200th,7.8,6th,5.95,72nd
Spencer Dinwiddie,14.4,0.614,20.1,-0.4,DAL,13.7,0.544,-0.7,22.6,0.7,178th,0.07,95th,0.3,190th,-2.5,492nd
Vlatko Cancar,4.8,0.637,9.2,3.3,DEN,4.1,0.657,0.3,5.1,0.7,179th,-0.02,361st,3,68th,4.1,132nd
Nic Claxton,9.4,0.65,18.9,1.2,BKN,8.7,0.672,-0.6,11.03,0.7,180th,-0.022,368th,1.8,109th,7.87,46th
Mitchell Robinson,9.1,0.682,21.1,0.9,NYK,8.5,0.722,-1.1,17,0.6,181st,-0.04,419th,2,100th,4.1,131st
Chris Paul,15.3,0.638,26,-1.1,PHX,14.7,0.581,7.1,36.75,0.6,182nd,0.057,119th,-8.2,587th,-10.75,598th
Jaylen Nowell,9.1,0.557,12.7,0.2,MIN,8.5,0.581,1.1,12.42,0.6,183rd,-0.024,376th,-0.9,367th,0.28,360th
Jerami Grant,19.8,0.606,27.1,1,DET,19.2,0.556,-4.7,17.78,0.6,184th,0.05,139th,5.7,14th,9.32,33rd
Wesley Matthews,5.7,0.506,11,1.2,MIL,5.1,0.536,2.8,6.9,0.6,185th,-0.03,398th,-1.6,418th,4.1,130th
Tyus Jones,9.3,0.509,19.4,1.3,MEM,8.7,0.544,3.5,19.1,0.6,186th,-0.035,410th,-2.2,453rd,0.3,355th
Payton Pritchard,6.7,0.605,14.2,5.7,BOS,6.2,0.578,0.9,10.5,0.5,187th,0.027,202nd,4.8,26th,3.7,144th
