player,team,location,opponent,outcome,mp,fgm,fga,fgpercent,threepfgmade,threepattempted,threepointpercent,ft,fta,ftpercent,oreb,dreb,trb,ast,stl,blk,tov,pf,pts,plusminus,gmsc,date,type,season,game_ts_percent,season_ts_percent,season_avg_ppg,games_played,salary
Terrence Ross,ORL,A,NYK,W,31:17,6,11,0.545,2,6,0.333,8,9,.889,1,0,1,3,2,0,0,1,22,0,20.7,2021-10-24T00:00:00Z,Regular Season,2022,0.735,0.581,12.3,4,12500000
Terrence Ross,ORL,H,NYK,L,24:05,4,8,0.5,4,7,0.571,0,1,.000,0,1,1,1,0,0,2,1,12,-34,6.2,2021-10-22T00:00:00Z,Regular Season,2022,0.711,0.581,12.3,4,12500000
Terrence Ross,ORL,A,SAS,L,27:21,5,10,0.5,1,1,1,4,4,1.000,0,3,3,0,0,0,1,1,15,-32,9.5,2021-10-20T00:00:00Z,Regular Season,2022,0.638,0.581,12.3,4,12500000
Vit Krejci,OKC,A,HOU,L,5:49,0,2,0,0,2,0,2,2,1.000,0,1,1,0,0,0,1,0,2,-4,-0.1,2021-10-22T00:00:00Z,Regular Season,2022,0.347,0.347,1,2,925258
Vit Krejci,OKC,A,UTA,L,3:14,0,0,NA,0,0,NA,0,0,,0,1,1,0,0,0,0,0,0,3,0.3,2021-10-20T00:00:00Z,Regular Season,2022,NA,0.347,1,2,925258
Alperen Sengun,HOU,H,BOS,L,19:26,1,5,0.2,0,1,0,5,6,.833,0,4,4,4,3,1,1,5,7,-3,8.2,2021-10-24T00:00:00Z,Regular Season,2022,0.458,0.622,8,3,3214680
Alperen Sengun,HOU,H,OKC,W,17:47,3,5,0.6,0,2,0,0,1,.000,1,3,4,1,1,2,6,4,6,14,0.4,2021-10-22T00:00:00Z,Regular Season,2022,0.551,0.622,8,3,3214680
Alperen Sengun,HOU,A,MIN,L,18:34,3,4,0.75,0,0,NA,5,5,1.000,3,3,6,2,3,0,3,4,11,-8,12.2,2021-10-20T00:00:00Z,Regular Season,2022,0.887,0.622,8,3,3214680
Draymond Green,GSW,A,SAC,W,34:22,6,12,0.5,1,2,0.5,1,2,.500,2,4,6,6,0,0,1,1,14,10,13,2021-10-24T00:00:00Z,Regular Season,2022,0.543,0.524,10,3,24026712
Draymond Green,GSW,H,LAC,W,33:43,4,5,0.8,0,0,NA,2,9,.222,0,6,6,7,1,0,1,3,10,-7,10.8,2021-10-21T00:00:00Z,Regular Season,2022,0.558,0.524,10,3,24026712
Draymond Green,GSW,A,LAL,W,29:56,2,5,0.4,0,0,NA,2,4,.500,3,5,8,6,1,0,5,3,6,-2,5.1,2021-10-19T00:00:00Z,Regular Season,2022,0.444,0.524,10,3,24026712
Andrew Wiggins,GSW,A,SAC,W,31:12,6,13,0.462,2,5,0.4,3,4,.750,2,2,4,0,0,0,0,1,17,18,11.5,2021-10-24T00:00:00Z,Regular Season,2022,0.576,0.566,15.3,3,31579390
Andrew Wiggins,GSW,H,LAC,W,30:45,6,15,0.4,3,6,0.5,2,2,1.000,3,3,6,3,1,1,2,1,17,-5,13.3,2021-10-21T00:00:00Z,Regular Season,2022,0.535,0.566,15.3,3,31579390
Andrew Wiggins,GSW,A,LAL,W,25:44,5,10,0.5,2,5,0.4,0,0,,1,6,7,1,1,0,2,3,12,-5,8,2021-10-19T00:00:00Z,Regular Season,2022,0.6,0.566,15.3,3,31579390
Tyler Herro,MIA,H,ORL,W,29:31,5,12,0.417,1,3,0.333,2,2,1.000,0,5,5,9,0,0,3,1,13,19,11,2021-10-25T00:00:00Z,Regular Season,2022,0.505,0.565,23.3,3,4004280
Tyler Herro,MIA,A,IND,L,41:10,12,28,0.429,3,12,0.25,3,3,1.000,1,9,10,0,0,0,3,2,30,-15,14.8,2021-10-23T00:00:00Z,Regular Season,2022,0.512,0.565,23.3,3,4004280
Tyler Herro,MIA,H,MIL,W,24:12,10,18,0.556,4,8,0.5,3,4,.750,1,5,6,5,0,0,2,1,27,27,21.3,2021-10-21T00:00:00Z,Regular Season,2022,0.683,0.565,23.3,3,4004280
De'Aaron Fox,SAC,H,GSW,L,34:02,8,16,0.5,1,6,0.167,0,1,.000,2,3,5,6,0,0,7,3,17,-11,6.9,2021-10-24T00:00:00Z,Regular Season,2022,0.517,0.44,18.7,3,28103550
De'Aaron Fox,SAC,H,UTA,L,35:10,5,19,0.263,0,5,0,2,4,.500,2,1,3,5,5,0,3,2,12,2,6.3,2021-10-22T00:00:00Z,Regular Season,2022,0.289,0.44,18.7,3,28103550
De'Aaron Fox,SAC,A,POR,W,36:07,9,22,0.409,2,8,0.25,7,10,.700,0,5,5,8,0,1,5,5,27,6,14.8,2021-10-20T00:00:00Z,Regular Season,2022,0.511,0.44,18.7,3,28103550
Kristaps Porzingis,DAL,A,TOR,W,29:12,7,20,0.35,2,9,0.222,2,3,.667,2,8,10,1,1,4,0,3,18,-3,13.5,2021-10-23T00:00:00Z,Regular Season,2022,0.422,0.412,14.5,2,31650600
Kristaps Porzingis,DAL,A,ATL,L,28:49,4,13,0.308,1,4,0.25,2,2,1.000,2,3,5,0,1,2,4,3,11,-23,3,2021-10-21T00:00:00Z,Regular Season,2022,0.396,0.412,14.5,2,31650600
Miles Bridges,CHA,H,BOS,L,38:16,11,22,0.5,2,10,0.2,1,1,1.000,2,8,10,3,1,0,2,5,25,-10,16.9,2021-10-25T00:00:00Z,Regular Season,2022,0.557,0.645,25,4,5421493
