Player,Team,Salary,Total Salary Owed
Garrett Temple,CHI,4767000,4767000
Kris Dunn,ATL,4767000,4767000
Elfrid Payton,NYK,5760000,5760000
Rui Hachimura,WAS,4692840,4692840
Denzel Valentine,CHI,4642800,4642800
Kevin Knox II,NYK,4588680,10434658
D.J. Wilson,MIL,4548280,4548280
Deni Avdija,WAS,4469160,9162000
Cam Reddish,ATL,4458000,9128160
Mikal Bridges,PHX,4359000,9916725
TJ Leaf,OKC,4326825,4326825
Jalen Smith,PHX,4245720,8703720
Cameron Johnson,PHX,4235160,8672160
JaVale McGee,CLE,4200000,4200000
Reggie Bullock,NYK,4200000,1000000
Shai Gilgeous-Alexander,OKC,4141320,4141320
John Collins,ATL,4137302,4137302
Nicolo Melli,NOP,4097561,4097561
Devin Vassell,SAS,4033440,8268600
P.J. Washington,CHA,4023600,8238720
Willie Cauley-Stein,DAL,4000000,8200000
Dorian Finney-Smith,DAL,4000000,8000000
Patrick McCaw,TOR,4000000,4000000
Terrance Ferguson,PHI,3944013,3944013
Miles Bridges,CHA,3934320,9355813
Jarrett Allen,CLE,3909902,3909902
OG Anunoby,TOR,3872215,55943644
Tyrese Haliburton,SAC,3831840,7855440
Tyler Herro,MIA,3822240,7826520
Stanley Johnson,TOR,3801000,3801000
Jake Layman,MIN,3761085,7701269
Danuel House Jr.,HOU,3717000,7611000
Kira Lewis Jr.,NOP,3640200,7462440
Romeo Langford,BOS,3631200,3631200
Facundo Campazzo,DEN,3623000,7427150
Bobby Portis,MIL,3623000,3623000
Maurice Harkless,MIA,3623000,3623000
Wesley Matthews,LAL,3623000,3623000
Kyle Kuzma,LAL,3562178,29241190
Michael Porter Jr.,DEN,3550800,8809535
Jevon Carter,PHX,3549383,11500000
Tony Bradley,PHI,3542060,3542060
Derrick White,SAS,3516284,76516284
Mirza Teletovic,MIL,3500000,3500000
Boban Marjanovic,DAL,3500000,3500000
T.J. McConnell,IND,3500000,1000000
Josh Hart,NOP,3491159,3491159
Aaron Nesmith,BOS,3458400,7089600
Sekou Doumbouya,DET,3449400,7063080
Troy Brown Jr.,WAS,3372840,3372840
James Ennis,ORL,3300000,3300000
Cole Anthony,ORL,3285120,6734520
Zhaire Smith,DET,3204600,3204600
Trey Burke,DAL,3174603,6507936
Austin Rivers,NYK,3174603,3174603
Jon Leuer,MIL,3169348,6338695
Chuma Okeke,ORL,3121080,6398160
Isaiah Stewart,DET,3121080,6398160
Nickeil Alexander-Walker,NOP,3113160,6374640
Patrick Patterson,LAC,3814768,3077701
Donte DiVincenzo,MIL,3044160,7719990
