player,team,full_team,season_avg_ppg,playoffs_avg_ppg,season_ts_percent,playoffs_ts_percent,games_played,playoffs_games_played,ppg_rank,top20_scorers,player_mvp_calc_adj,games_missed,penalized_games_missed,top5_candidates,mvp_rank
Scottie Barnes,TOR,Toronto Raptors,15.3,12.8,0.552,0.52,74,4,86,Other,25.5,8,0,Other,60
Mikal Bridges,PHX,Phoenix Suns,14.2,13.3,0.627,0.572,82,13,101,Other,25.1,0,0,Other,62
RJ Barrett,NYK,New York Knicks,20,NA,0.511,NA,70,NA,40,Other,24.8,12,0,Other,63
Al Horford,BOS,Boston Celtics,10.2,12,0.574,0.663,69,23,177,Other,24.5,13,0,Other,65
Derrick White,BOS,Boston Celtics,13.2,8.5,0.549,0.494,75,23,115,Other,24.5,7,0,Other,64
Bobby Portis,MIL,Milwaukee Bucks,14.6,10.6,0.572,0.509,72,12,100,Other,24.1,10,0,Other,67
Christian Wood,HOU,Houston Rockets,17.9,NA,0.594,NA,68,NA,55,Other,24.1,14,0,Other,66
Keldon Johnson,SAS,San Antonio Spurs,17,NA,0.574,NA,75,NA,69,Other,23.8,7,0,Other,68
Kyle Kuzma,WAS,Washington Wizards,17.1,NA,0.547,NA,66,NA,66,Other,23.8,16,0,Other,69
Bradley Beal,WAS,Washington Wizards,23.2,NA,0.539,NA,40,NA,23,Other,23.78,42,26,Other,70
Cade Cunningham,DET,Detroit Pistons,17.4,NA,0.504,NA,64,NA,59,Other,23.71,18,2,Other,71
Reggie Jackson,LAC,Los Angeles Clippers,16.8,NA,0.488,NA,75,NA,70,Other,23.7,7,0,Other,72
Aaron Gordon,DEN,Denver Nuggets,15,13.8,0.602,0.52,75,5,92,Other,23.5,7,0,Other,73
Will Barton,DEN,Denver Nuggets,14.7,13.8,0.548,0.503,71,5,99,Other,23.4,11,0,Other,74
Deandre Ayton,PHX,Phoenix Suns,17.2,17.9,0.656,0.653,58,13,64,Other,23.35,24,8,Other,75
Jordan Clarkson,UTA,Utah Jazz,16,17.5,0.532,0.649,79,6,79,Other,23.3,3,0,Other,76
Cole Anthony,ORL,Orlando Magic,16.3,NA,0.519,NA,65,NA,73,Other,23.23,17,1,Other,77
Robert Williams,BOS,Boston Celtics,10,7.7,0.745,0.725,61,17,184,Other,22.95,21,5,Other,78
Monte Morris,DEN,Denver Nuggets,12.6,14,0.583,0.622,75,5,124,Other,22.9,7,0,Other,79
Clint Capela,ATL,Atlanta Hawks,11.1,2,0.605,0.333,74,2,152,Other,22.8,8,0,Other,80
Kristaps Porzingis,WAS,Washington Wizards,20.2,NA,0.577,NA,51,NA,35,Other,22.8,31,15,Other,81
Bojan Bogdanovic,UTA,Utah Jazz,18.1,18,0.598,0.59,69,6,53,Other,22.7,13,0,Other,82
Bogdan Bogdanovic,ATL,Atlanta Hawks,15.1,14.3,0.562,0.534,63,4,88,Other,22.65,19,3,Other,83
Spencer Dinwiddie,DAL,Dallas Mavericks,13.7,14.2,0.544,0.576,67,18,106,Other,22.6,15,0,Other,84
