player,team,full_team,season_avg_ppg,playoffs_avg_ppg,season_ts_percent,playoffs_ts_percent,games_played,playoffs_games_played,ppg_rank,top20_scorers,player_mvp_calc_adj,games_missed,penalized_games_missed,top5_candidates,mvp_rank
Aaron Nesmith,BOS,Boston Celtics,3.8,0.9,0.507,0.32,52,14,442,Other,4.13,30,14,Other,458
Luke Kornet,BOS,Boston Celtics,2,0.7,0.506,0.875,15,10,525,Other,4.13,67,51,Other,460
Rodney Hood,LAC,Los Angeles Clippers,3.1,NA,0.493,NA,52,NA,478,Other,4.13,30,14,Other,459
Josh Okogie,MIN,Minnesota Timberwolves,2.7,0,0.526,NA,49,1,499,Other,4.05,33,17,Other,461
Neemias Queta,SAC,Sacramento Kings,3.2,NA,0.495,NA,14,NA,472,Other,4.05,68,52,Other,462
Malcolm Hill,CHI,Chicago Bulls,3.8,NA,0.619,NA,19,NA,443,Other,3.98,63,47,Other,463
Solomon Hill,ATL,Atlanta Hawks,0.6,NA,0.2,NA,13,NA,573,Other,3.98,69,53,Other,464
Freddie Gillespie,ORL,Orlando Magic,2.3,NA,0.419,NA,9,NA,516,Other,3.9,73,57,Other,466
Lindell Wigginton,MIL,Milwaukee Bucks,4.2,NA,0.524,NA,19,NA,418,Other,3.9,63,47,Other,465
Ignas Brazdeikis,ORL,Orlando Magic,5,NA,0.52,NA,42,NA,385,Other,3.83,40,24,Other,467
Daishen Nix,HOU,Houston Rockets,3.2,NA,0.48,NA,24,NA,473,Other,3.75,58,42,Other,469
Gary Clark,NOP,New Orleans Pelicans,2.7,NA,0.547,NA,38,NA,501,Other,3.75,44,28,Other,468
Kent Bazemore,LAL,Los Angeles Lakers,3.4,NA,0.451,NA,39,NA,460,Other,3.68,43,27,Other,470
Craig Sword,WAS,Washington Wizards,2,NA,0.75,NA,3,NA,522,Other,3.6,79,63,Other,472
Shaquille Harrison,BKN,Brooklyn Nets,2,NA,0.333,NA,2,NA,534,Other,3.6,80,64,Other,471
Ish Wainright,PHX,Phoenix Suns,2.4,1.9,0.494,0.542,45,7,513,Other,3.53,37,21,Other,476
Justin Champagnie,TOR,Toronto Raptors,2.3,NA,0.571,NA,36,NA,514,Other,3.53,46,30,Other,475
Marcus Garrett,MIA,Miami Heat,1.1,NA,0.28,NA,12,NA,556,Other,3.53,70,54,Other,474
Tony Snell,NOP,New Orleans Pelicans,3.5,NA,0.541,NA,53,NA,458,Other,3.53,29,13,Other,473
Abdel Nader,PHX,Phoenix Suns,2.4,NA,0.431,NA,14,NA,510,Other,3.45,68,52,Other,478
Markus Howard,DEN,Denver Nuggets,4.1,NA,0.567,NA,31,NA,428,Other,3.45,51,35,Other,477
Damyean Dotson,NYK,New York Knicks,2,NA,0.5,NA,2,NA,532,Other,3.38,80,64,Other,482
Javin DeLaurier,MIL,Milwaukee Bucks,0,NA,NA,NA,1,NA,592,Other,3.38,81,65,Other,480
Sam Merrill,MEM,Memphis Grizzlies,4.2,NA,0.485,NA,6,NA,419,Other,3.38,76,60,Other,483
Thanasis Antetokounmpo,MIL,Milwaukee Bucks,3.6,0.6,0.577,0.579,48,8,450,Other,3.38,34,18,Other,481
Tyler Cook,CHI,Chicago Bulls,3.4,NA,0.643,NA,20,NA,461,Other,3.38,62,46,Other,479
Jay Scrubb,LAC,Los Angeles Clippers,2.7,NA,0.486,NA,18,NA,498,Other,3.3,64,48,Other,485
Willie Cauley-Stein,PHI,Philadelphia 76ers,1.7,NA,0.474,NA,20,NA,541,Other,3.3,62,46,Other,484
Dylan Windler,CLE,Cleveland Cavaliers,2.2,NA,0.519,NA,50,NA,519,Other,3.15,32,16,Other,486
Kyle Guy,MIA,Miami Heat,3.9,NA,0.526,NA,19,NA,436,Other,3.15,63,47,Other,487
Bol Bol,DEN,Denver Nuggets,2.5,NA,0.583,NA,13,NA,503,Other,3.08,69,53,Other,491
Devon Dotson,CHI,Chicago Bulls,2.4,NA,0.538,NA,12,NA,508,Other,3.08,70,54,Other,488
JT Thor,CHA,Charlotte Hornets,2,NA,0.525,NA,33,NA,527,Other,3.08,49,33,Other,489
Sandro Mamukelashvili,MIL,Milwaukee Bucks,3.8,NA,0.618,NA,41,NA,445,Other,3.08,41,25,Other,490
Admiral Schofield,ORL,Orlando Magic,3.8,NA,0.538,NA,38,NA,444,Other,3,44,28,Other,493
Chris Chiozza,GSW,Golden State Warriors,2,NA,0.412,NA,34,NA,523,Other,3,48,32,Other,494
Javonte Smart,MIA,Miami Heat,3,NA,0.407,NA,17,NA,482,Other,3,65,49,Other,492
Langston Galloway,MIL,Milwaukee Bucks,2,NA,0.269,NA,7,NA,528,Other,3,75,59,Other,496
Paris Bass,PHX,Phoenix Suns,3,NA,0.436,NA,2,NA,488,Other,3,80,64,Other,495
Jeff Dowtin,ORL,Orlando Magic,2.4,NA,0.353,NA,8,NA,509,Other,2.93,74,58,Other,497
Cat Barber,ATL,Atlanta Hawks,0,NA,0,NA,2,NA,601,Other,2.85,80,64,Other,500
Denzel Valentine,UTA,Utah Jazz,2.9,NA,0.523,NA,24,NA,494,Other,2.85,58,42,Other,498
Eugene Omoruyi,DAL,Dallas Mavericks,1.8,NA,0.518,NA,4,NA,538,Other,2.85,78,62,Other,499
Nik Stauskas,BOS,Boston Celtics,2.3,1,0.541,0.472,8,13,517,Other,2.85,74,58,Other,501
Paul Watson,OKC,Oklahoma City Thunder,3.4,NA,0.432,NA,9,NA,463,Other,2.85,73,57,Other,502
Sam Hauser,BOS,Boston Celtics,2.5,0.7,0.65,0.512,26,7,504,Other,2.85,56,40,Other,503
Bruno Fernando,HOU,Houston Rockets,2.9,NA,0.671,NA,30,NA,495,Other,2.78,52,36,Other,505
Theo Pinson,DAL,Dallas Mavericks,2.5,NA,0.553,NA,19,NA,507,Other,2.78,63,47,Other,506
Tim Frazier,CLE,Cleveland Cavaliers,3.3,NA,0.398,NA,12,NA,468,Other,2.78,70,54,Other,504
Mychal Mulder,MIA,Miami Heat,4.1,NA,0.438,NA,17,NA,429,Other,2.7,65,49,Other,507
Nick Richards,CHA,Charlotte Hornets,3,NA,0.689,NA,50,NA,486,Other,2.7,32,16,Other,508
Quinndary Weatherspoon,GSW,Golden State Warriors,2.7,NA,0.647,NA,11,NA,500,Other,2.63,71,55,Other,509
Jake Layman,MIN,Minnesota Timberwolves,2.4,NA,0.5,NA,34,NA,512,Other,2.55,48,32,Other,510
Jay Huff,LAL,Los Angeles Lakers,0,NA,0,NA,4,NA,604,Other,2.55,78,62,Other,511
Brodric Thomas,BOS,Boston Celtics,1.8,NA,0.52,NA,12,NA,537,Other,2.48,70,54,Other,512
Georgios Kalaitzakis,OKC,Oklahoma City Thunder,6.6,NA,0.536,NA,13,NA,311,Other,2.48,69,53,Other,513
Jahmi'us Ramsey,SAC,Sacramento Kings,3.2,NA,0.468,NA,19,NA,471,Other,2.48,63,47,Other,514
M.J. Walker,PHX,Phoenix Suns,0,NA,0,NA,2,NA,595,Other,2.48,80,64,Other,515
Tacko Fall,CLE,Cleveland Cavaliers,1.1,NA,0.398,NA,11,NA,555,Other,2.48,71,55,Other,516
Alfonzo McKinnie,CHI,Chicago Bulls,3.5,NA,0.457,NA,17,NA,456,Other,2.4,65,49,Other,518
Gabriel Deck,OKC,Oklahoma City Thunder,2.9,NA,0.672,NA,7,NA,491,Other,2.4,75,59,Other,521
Jarron Cumberland,POR,Portland Trail Blazers,0.7,NA,0.5,NA,3,NA,569,Other,2.4,79,63,Other,517
Kevin Knox,ATL,Atlanta Hawks,3.1,11,0.491,0.926,30,2,479,Other,2.4,52,36,Other,519
Skylar Mays,ATL,Atlanta Hawks,2.9,1,0.589,1,28,2,490,Other,2.4,54,38,Other,520
Ed Davis,CLE,Cleveland Cavaliers,0.9,NA,0.632,NA,31,NA,566,Other,2.33,51,35,Other,522
Joe Wieskamp,SAS,San Antonio Spurs,2,NA,0.494,NA,30,NA,524,Other,2.33,52,36,Other,524
Tyrone Wallace,NOP,New Orleans Pelicans,2.8,NA,0.383,NA,6,NA,497,Other,2.33,76,60,Other,523
Ahmad Caver,IND,Indiana Pacers,2,NA,1,NA,1,NA,531,Other,2.25,81,65,Other,526
Anthony Lamb,SAS,San Antonio Spurs,0,NA,0,NA,2,NA,588,Other,2.25,80,64,Other,530
Charlie Brown,PHI,Philadelphia 76ers,1.4,NA,0.346,NA,22,NA,549,Other,2.25,60,44,Other,525
Chris Silva,MIA,Miami Heat,2.6,NA,0.641,NA,10,NA,502,Other,2.25,72,56,Other,531
Emmanuel Mudiay,SAC,Sacramento Kings,1.5,NA,0.399,NA,2,NA,546,Other,2.25,80,64,Other,528
Jordan Bell,CHI,Chicago Bulls,0,NA,NA,NA,1,NA,584,Other,2.25,81,65,Other,527
Semi Ojeleye,LAC,Los Angeles Clippers,3.3,NA,0.438,NA,30,NA,469,Other,2.25,52,36,Other,529
Udonis Haslem,MIA,Miami Heat,2.5,NA,0.495,NA,13,NA,506,Other,2.25,69,53,Other,532
Jaylen Morris,SAS,San Antonio Spurs,0.7,NA,0.129,NA,3,NA,570,Other,2.1,79,63,Other,535
Justin Robinson,DET,Detroit Pistons,3.1,NA,0.404,NA,25,NA,475,Other,2.1,57,41,Other,534
Leandro Bolmaro,MIN,Minnesota Timberwolves,1.4,NA,0.419,NA,35,NA,547,Other,2.1,47,31,Other,533
Haywood Highsmith,MIA,Miami Heat,2.3,1.1,0.446,0.643,19,8,515,Other,2.03,63,47,Other,536
Kevin Pangos,CLE,Cleveland Cavaliers,1.6,NA,0.408,NA,25,NA,543,Other,2.03,57,41,Other,537
Marko Simonovic,CHI,Chicago Bulls,1.9,NA,0.428,NA,9,NA,536,Other,2.03,73,57,Other,538
Jalen Johnson,ATL,Atlanta Hawks,2.4,0,0.59,0,22,2,511,Other,1.95,60,44,Other,539
Jordan Schakel,WAS,Washington Wizards,1.3,NA,0.21,NA,4,NA,550,Other,1.95,78,62,Other,540
Cassius Winston,WAS,Washington Wizards,2,NA,0.549,NA,7,NA,530,Other,1.88,75,59,Other,541
Elijah Hughes,POR,Portland Trail Blazers,3.5,NA,0.426,NA,36,NA,454,Other,1.88,46,30,Other,542
Alize Johnson,NOP,New Orleans Pelicans,1.8,NA,0.474,NA,23,NA,539,Other,1.8,59,43,Other,543
Robert Woodard,SAC,Sacramento Kings,0.6,NA,0.207,NA,12,NA,574,Other,1.73,70,54,Other,544
Isaiah Todd,WAS,Washington Wizards,1.7,NA,0.349,NA,12,NA,542,Other,1.65,70,54,Other,545
RJ Nembhard,CLE,Cleveland Cavaliers,1.1,NA,0.38,NA,14,NA,558,Other,1.65,68,52,Other,546
Petr Cornelie,DEN,Denver Nuggets,1.1,NA,0.418,NA,13,NA,557,Other,1.58,69,53,Other,547
Moses Wright,DAL,Dallas Mavericks,1.3,NA,0.47,NA,4,NA,551,Other,1.5,78,62,Other,548
Shaq Buchanan,MEM,Memphis Grizzlies,1,NA,0.25,NA,2,NA,562,Other,1.5,80,64,Other,549
Justin Jackson,PHX,Phoenix Suns,2.1,NA,0.472,NA,7,NA,521,Other,1.43,75,59,Other,550
Chandler Hutchison,PHX,Phoenix Suns,0.7,NA,0.694,NA,6,NA,571,Other,1.35,76,60,Other,552
Ryan Arcidiacono,NYK,New York Knicks,1.6,NA,0.667,NA,10,NA,544,Other,1.35,72,56,Other,551
Joel Ayayi,WAS,Washington Wizards,0.3,NA,0.167,NA,7,NA,581,Other,1.2,75,59,Other,553
Malik Fitts,BOS,Boston Celtics,1.4,0.9,0.553,1,15,9,548,Other,1.2,67,51,Other,554
Isaac Bonga,TOR,Toronto Raptors,0.8,2,0.363,1.136,15,1,568,Other,1.13,67,51,Other,555
Keljin Blevins,POR,Portland Trail Blazers,3.1,NA,0.41,NA,31,NA,480,Other,1.13,51,35,Other,556
Scottie Lewis,CHA,Charlotte Hornets,0.5,NA,0.568,NA,2,NA,577,Other,0.98,80,64,Other,557
Daniel Oturu,TOR,Toronto Raptors,3,NA,0.549,NA,3,NA,489,Other,0.9,79,63,Other,559
Marcos Louzada Silva,POR,Portland Trail Blazers,3.9,NA,0.517,NA,9,NA,438,Other,0.9,73,57,Other,558
Yves Pons,MEM,Memphis Grizzlies,1.1,NA,0.385,NA,12,NA,554,Other,0.9,70,54,Other,560
Kai Jones,CHA,Charlotte Hornets,1,NA,0.628,NA,21,NA,563,Other,0.83,61,45,Other,561
DaQuan Jeffries,MEM,Memphis Grizzlies,0.7,NA,0.5,NA,3,NA,572,Other,0.75,79,63,Other,562
DeJon Jarreau,IND,Indiana Pacers,0,NA,NA,NA,1,NA,598,Other,0.75,81,65,Other,564
Feron Hunt,NYK,New York Knicks,0,NA,0,NA,2,NA,599,Other,0.75,80,64,Other,565
Jon Teske,MEM,Memphis Grizzlies,0,NA,0,NA,3,NA,597,Other,0.75,79,63,Other,563
McKinley Wright,MIN,Minnesota Timberwolves,1,NA,0.833,NA,5,NA,560,Other,0.68,77,61,Other,566
Dakota Mathias,MEM,Memphis Grizzlies,1,NA,0.5,NA,6,NA,561,Other,0.6,76,60,Other,569
Darren Collison,LAL,Los Angeles Lakers,1.3,NA,0.286,NA,3,NA,552,Other,0.6,79,63,Other,568
Jaden Springer,PHI,Philadelphia 76ers,1,1.2,1,0.5,2,5,559,Other,0.6,80,64,Other,571
Myles Powell,PHI,Philadelphia 76ers,1.2,NA,0.364,NA,11,NA,553,Other,0.6,71,55,Other,567
Vernon Carey,WAS,Washington Wizards,2.9,NA,0.534,NA,7,NA,493,Other,0.6,75,59,Other,570
Xavier Sneed,UTA,Utah Jazz,0.6,NA,0.25,NA,9,NA,575,Other,0.53,73,57,Other,572
Deividas Sirvydis,DET,Detroit Pistons,1,NA,0.15,NA,3,NA,565,Other,0.38,79,63,Other,575
Jemerrio Jones,LAL,Los Angeles Lakers,2,NA,0.667,NA,2,NA,526,Other,0.38,80,64,Other,574
Tyrell Terry,MEM,Memphis Grizzlies,1,NA,1,NA,2,NA,564,Other,0.38,80,64,Other,573
Cheick Diallo,DET,Detroit Pistons,3.7,NA,0.517,NA,3,NA,448,Other,0.23,79,63,Other,577
Nate Hinton,IND,Indiana Pacers,0,NA,0,NA,2,NA,600,Other,0.23,80,64,Other,576
Wayne Selden,NYK,New York Knicks,1.7,NA,0.434,NA,3,NA,540,Other,0.15,79,63,Other,578
Carlik Jones,DEN,Denver Nuggets,0.8,NA,0.202,NA,5,NA,567,Other,0.08,77,61,Other,579
Juwan Morgan,BOS,Boston Celtics,2.5,0.1,0.833,0.266,2,9,505,Other,0,80,64,Other,580
Scotty Hopson,OKC,Oklahoma City Thunder,4,NA,0.5,NA,1,NA,435,Other,0,81,65,Other,581
Aleem Ford,ORL,Orlando Magic,3,NA,0.353,NA,4,NA,481,Other,-0.23,78,62,Other,583
Micah Potter,DET,Detroit Pistons,4,NA,0.505,NA,3,NA,434,Other,-0.23,79,63,Other,584
Miye Oni,UTA,Utah Jazz,0.3,NA,0.265,NA,16,NA,579,Other,-0.23,66,50,Other,582
JaQuori McLaughlin,DAL,Dallas Mavericks,0,NA,0,NA,4,NA,602,Other,-0.3,78,62,Other,585
Ade Murkey,SAC,Sacramento Kings,0,NA,NA,NA,1,NA,582,Other,-0.38,81,65,Other,587
David Johnson,TOR,Toronto Raptors,0,NA,0,NA,2,NA,603,Other,-0.38,80,64,Other,586
Jaime Echenique,WAS,Washington Wizards,0,NA,NA,NA,1,NA,583,Other,-0.38,81,65,Other,588
Joe Johnson,BOS,Boston Celtics,2,NA,1,NA,1,NA,533,Other,-0.38,81,65,Other,589
Norvel Pelle,UTA,Utah Jazz,2,NA,0.6,NA,3,NA,529,Other,-0.38,79,63,Other,590
Sharife Cooper,ATL,Atlanta Hawks,0.5,NA,0.25,NA,13,NA,576,Other,-0.45,69,53,Other,591
Aaron Henry,PHI,Philadelphia 76ers,0.3,NA,0.2,NA,6,NA,578,Other,-0.83,76,60,Other,592
Emanuel Terry,PHX,Phoenix Suns,0,NA,0,NA,3,NA,586,Other,-1.35,79,63,Other,594
Jordan Goodwin,WAS,Washington Wizards,0,NA,0,NA,2,NA,585,Other,-1.35,80,64,Other,593
Matt Mooney,NYK,New York Knicks,0,NA,0,NA,1,NA,587,Other,-1.5,81,65,Other,596
Rob Edwards,OKC,Oklahoma City Thunder,1.5,NA,0.375,NA,2,NA,545,Other,-1.5,80,64,Other,595
C.J. Miles,BOS,Boston Celtics,0,NA,NA,NA,1,NA,589,Other,-1.88,81,65,Other,598
Sam Dekker,TOR,Toronto Raptors,0,NA,NA,NA,1,NA,590,Other,-1.88,81,65,Other,597
Tyler Hall,NYK,New York Knicks,0,NA,NA,NA,1,NA,591,Other,-1.88,81,65,Other,599
Melvin Frazier,OKC,Oklahoma City Thunder,10.7,NA,0.313,NA,3,NA,163,Other,-2.1,79,63,Other,600
George King,DAL,Dallas Mavericks,0.3,NA,0.085,NA,4,NA,580,Other,-2.18,78,62,Other,601
Arnoldas Kulboka,CHA,Charlotte Hornets,0,NA,0,NA,2,NA,596,Other,-2.25,80,64,Other,602
Jaysean Paige,DET,Detroit Pistons,0,NA,0,NA,1,NA,594,Other,-3.38,81,65,Other,603
Zylan Cheatham,UTA,Utah Jazz,0,NA,0,NA,1,NA,593,Other,-4.88,81,65,Other,604
